date,pm10,pm25,co,no2,so2,o3,aerosol_optical_depth,dust,uv_index,aqi,european_aqi,hour,day,month,weekday,aqi_change_rate,aqi_lag_1,aqi_lag_7,target_aqi,temperature,humidity,wind_speed,rain
2024-08-03,116.32916666666668,32.11666666666667,231.95833333333331,15.495833333333332,5.520833333333333,42.66666666666666,1.3841666666666663,188.83333333333331,0.4916666666666667,86.83333333333333,81.95833333333333,0,3,8,5,9.333333333333329,77.5,93.16666666666669,76.625,29.2,82,25.3,0.2
2024-08-04,138.27083333333334,33.90833333333333,239.04166666666663,14.891666666666666,5.745833333333334,49.208333333333336,1.01375,243.95833333333331,1.2229166666666669,94.29166666666669,89.70833333333333,0,4,8,6,7.458333333333357,86.83333333333333,107.58333333333331,71.25,28.9,83,21.6,2.5
2024-08-05,113.37083333333334,28.191666666666663,220.70833333333331,13.379166666666668,6.945833333333334,49.708333333333336,0.9545833333333332,191.29166666666663,1.6770833333333333,93.5,93.83333333333331,0,5,8,0,-0.7916666666666856,94.29166666666669,106.91666666666669,68.45833333333333,28.6,82,20.4,1.6
2024-08-06,85.02916666666667,23.004166666666663,206.91666666666663,12.929166666666667,5.404166666666666,44.16666666666666,0.8429166666666666,132.375,1.1854166666666666,76.625,77.25,0,6,8,1,-16.875,93.5,101.04166666666669,66.41666666666667,28.4,83,25.0,1.1
2024-08-07,73.25833333333334,20.316666666666663,167.45833333333334,7.462499999999999,3.829166666666666,49.75,0.7779166666666666,112.70833333333331,1.9083333333333332,71.25,72.5,0,7,8,2,-5.375,76.625,71.375,59.625,28.9,78,33.5,0.4
2024-08-08,66.60833333333333,20.079166666666666,185.5,8.541666666666666,4.4125000000000005,51.708333333333336,0.56625,93.75,1.9979166666666668,68.45833333333333,67.66666666666667,0,8,8,3,-2.7916666666666714,71.25,64.41666666666667,58.208333333333336,29.3,76,25.4,0.7
2024-08-09,65.72500000000001,18.329166666666666,186.41666666666663,8.295833333333333,4.358333333333333,50.04166666666666,0.5466666666666666,100.83333333333331,1.7416666666666665,66.41666666666667,67.70833333333333,0,9,8,4,-2.041666666666657,68.45833333333333,77.5,61.875,29.6,75,29.0,0.5
2024-08-10,55.333333333333336,16.116666666666667,154.95833333333334,6.658333333333334,3.6625,47.333333333333336,0.6291666666666667,78.33333333333333,1.6125,59.625,63.083333333333336,0,10,8,5,-6.791666666666671,66.41666666666667,86.83333333333333,63.0,29.8,74,35.0,0.4
2024-08-11,52.1875,15.85,156.25,6.8625,3.470833333333333,44.41666666666666,0.6233333333333333,71.0,1.5354166666666669,58.208333333333336,61.875,0,11,8,6,-1.4166666666666643,59.625,94.29166666666669,78.08333333333333,29.1,79,34.7,1.1
2024-08-12,87.15833333333335,18.8375,179.45833333333334,9.1875,4.558333333333334,42.125,0.6725,147.125,1.4625,61.875,68.0,0,12,8,0,3.6666666666666643,58.208333333333336,93.5,72.04166666666667,29.0,81,27.2,1.4
